date,state,cases,predict,lower,upper
2020-04-23,Colorado,,11262.0,11262.0,11262.0
2020-04-24,Colorado,,11665.589400680192,11532.97485848717,11798.203942873213
2020-04-25,Colorado,,12077.433381343235,11801.470536009823,12353.396226676645
2020-04-26,Colorado,,12497.531941989128,12068.2365977346,12926.827286243653
2020-04-27,Colorado,,12925.885082617871,12333.884561931987,13517.885603303754
2020-04-28,Colorado,,13362.492803229467,12598.925695908178,14126.059910550754
2020-04-29,Colorado,,13807.355103823911,12863.79573871944,14750.914468928382
2020-04-30,Colorado,,14260.471984401207,13128.871846925282,15392.072121877132
2020-05-01,Colorado,,14721.843444961354,13394.484651773306,16049.202238149403
2020-05-02,Colorado,,15191.469485504353,13660.92710415431,16722.011866854395
2020-05-03,Colorado,,15669.3501060302,13928.461130434978,17410.239081625423
2020-05-04,Colorado,,16155.4853065389,14197.322750122832,18113.647862954967
2020-05-05,Colorado,,16649.87508703045,14467.726084294798,18832.0240897661
2020-05-06,Colorado,,17152.51944750485,14739.866546001647,19565.17234900805
2020-05-07,Colorado,,17663.418387962098,15013.923415535664,20312.913360388535
2020-05-08,Colorado,,18182.571908402206,15290.061945139048,21075.08187166536
2020-04-23,Maryland,,15737.0,15737.0,15737.0
2020-04-24,Maryland,,16520.462717114096,16242.454268201642,16798.47116602655
2020-04-25,Maryland,,17320.39385534282,16753.526223003388,17887.26148768225
2020-04-26,Maryland,,18136.793414686173,17270.608963518443,19002.9778658539
2020-04-27,Maryland,,18969.661395144154,17794.05572909793,20145.267061190374
2020-04-28,Maryland,,19818.99779671676,18324.186212178614,21313.80938125491
2020-04-29,Maryland,,20684.802619404,18861.291554209634,22508.31368459836
2020-04-30,Maryland,,21567.075863205864,19405.638358135813,23728.51336827591
2020-05-01,Maryland,,22465.81752812236,19957.471953168588,24974.163103076127
2020-05-02,Maryland,,23381.027614153478,20517.019081986226,26245.03614632073
2020-05-03,Maryland,,24312.706121299227,21084.49013545038,27540.92210714807
2020-05-04,Maryland,,25260.853049559606,21660.081028327328,28861.62507079188
2020-05-05,Maryland,,26225.46839893461,22243.974786925013,30206.962010944208
2020-05-06,Maryland,,27206.552169424245,22836.342903153847,31576.761435694643
2020-05-07,Maryland,,28204.10436102851,23437.346497420032,32970.862224636985
2020-05-08,Maryland,,29218.1249737474,24047.137323712705,34389.11262378209
2020-04-23,Nevada,,4208.0,4208.0,4208.0
2020-04-24,Nevada,,4340.90495176685,4265.853751015702,4415.956152517998
2020-04-25,Nevada,,4476.579756096982,4323.483995845843,4629.675516348122
2020-04-26,Nevada,,4615.024412990399,4381.001377974158,4849.04744800664
2020-04-27,Nevada,,4756.238922447097,4438.505109544942,5073.972735349253
2020-04-28,Nevada,,4900.223284467079,4496.084813891721,5304.361755042437
2020-04-29,Nevada,,5046.977499050343,4553.821977293866,5540.13302080682
2020-04-30,Nevada,,5196.501566196891,4611.791110469926,5781.212021923856
2020-05-01,Nevada,,5348.795485906721,4670.060690417656,6027.530281395787
2020-05-02,Nevada,,5503.859258179835,4728.693933287174,6279.024583072495
2020-05-03,Nevada,,5661.692883016231,4787.749435371536,6535.636330660926
2020-05-04,Nevada,,5822.29636041591,4847.281709811248,6797.311011020572
2020-05-05,Nevada,,5985.6696903788725,4907.34163986339,7063.997740894354
2020-05-06,Nevada,,6151.812872905118,4967.976864706379,7335.648881103856
2020-05-07,Nevada,,6320.725907994645,5029.232110166683,7612.219705822608
2020-05-08,Nevada,,6492.408795647456,5091.1494740827175,7893.668117212195
2020-04-23,Tennessee,,8230.0,8230.0,8230.0
2020-04-24,Tennessee,,8595.746782756003,8417.454569178539,8774.03899633347
2020-04-25,Tennessee,,8969.21137558482,8607.542266472663,9330.880484696978
2020-04-26,Tennessee,,9350.39377848645,8800.400326259734,9900.387230713168
2020-04-27,Tennessee,,9739.293991460894,8996.155436777193,10482.432546144593
2020-04-28,Tennessee,,10135.912014508149,9194.925025418948,11076.89900359735
2020-04-29,Tennessee,,10540.247847628218,9396.818334867985,11683.67736038845
2020-04-30,Tennessee,,10952.301490821099,9601.937331894776,12302.665649747421
2020-05-01,Tennessee,,11372.072944086793,9810.377480859679,12933.768407313906
2020-05-02,Tennessee,,11799.5622074253,10022.228406764738,13576.896008085863
2020-05-03,Tennessee,,12234.769280836621,10237.574467341468,14231.964094331774
2020-05-04,Tennessee,,12677.694164320754,10456.495249617075,14898.893079024434
2020-05-05,Tennessee,,13128.3368578777,10679.066003313308,15577.607712442094
2020-05-06,Tennessee,,13586.69736150746,10905.358021048456,16268.036701966463
2020-05-07,Tennessee,,14052.77567521003,11135.438973454326,16970.112376965735
2020-05-08,Tennessee,,14526.571798985417,11369.373205857624,17683.77039211321
2020-04-23,Hawaii,,590.0,590.0,590.0
2020-04-24,Hawaii,,598.7993539962251,590.0,607.5987079924504
2020-04-25,Hawaii,,608.3874300534452,590.0,626.7748601068904
2020-04-26,Hawaii,,618.6941009945692,590.0,647.3882019891383
2020-04-27,Hawaii,,629.6660726495388,590.0,669.3321452990778
2020-04-28,Hawaii,,641.2610648962536,590.0,692.5221297925073
2020-04-29,Hawaii,,653.4444712618713,590.0,716.8889425237427
2020-04-30,Hawaii,,666.1872852401408,590.0,742.3745704802816
2020-05-01,Hawaii,,679.4647354463182,590.0,768.9294708926363
2020-05-02,Hawaii,,693.2553455233232,590.0,796.5106910466463
2020-05-03,Hawaii,,707.540262594444,590.0,825.080525188888
2020-05-04,Hawaii,,722.3027630099433,590.0,854.6055260198866
2020-05-05,Hawaii,,737.5278793939904,590.0,885.0557587879807
2020-05-06,Hawaii,,753.2021132055336,590.0,916.404226411067
2020-05-07,Hawaii,,769.313209142455,590.0,948.62641828491
2020-05-08,Hawaii,,785.8499752656184,590.0,981.6999505312367
2020-04-23,Indiana,,13039.0,13039.0,13039.0
2020-04-24,Indiana,,13640.0,13482.949946618552,13797.050053381448
2020-04-25,Indiana,,14241.0,13861.847631155088,14620.152368844912
2020-04-26,Indiana,,14842.0,14190.828959367012,15493.171040632988
2020-04-27,Indiana,,15443.0,14477.728852604112,16408.271147395888
2020-04-28,Indiana,,16044.0,14727.55425737322,17360.44574262678
2020-04-29,Indiana,,16645.0,14943.861762511808,18346.13823748819
2020-04-30,Indiana,,17246.0,15129.346377875074,19362.653622124926
2020-05-01,Indiana,,17847.0,15286.141746948144,20407.858253051854
2020-05-02,Indiana,,18448.0,15415.991586803793,21480.008413196207
2020-05-03,Indiana,,19049.0,15520.355711467384,22577.644288532618
2020-05-04,Indiana,,19650.0,15600.479611095829,23699.520388904173
2020-05-05,Indiana,,20251.0,15657.442267519677,24844.557732480323
2020-05-06,Indiana,,20852.0,15692.190247238503,26011.809752761495
2020-05-07,Indiana,,21453.0,15705.56275491056,27200.43724508944
2020-05-08,Indiana,,22057.62612063367,15705.56275491056,28409.68948635678
2020-04-23,Kentucky,,3548.0,3548.0,3548.0
2020-04-24,Kentucky,,3730.8678887248325,3663.1981791957073,3798.537598253958
2020-04-25,Kentucky,,3901.041487319226,3765.4231419049147,4036.6598327335364
2020-04-26,Kentucky,,4091.4090949117476,3886.1213647961576,4296.696825027338
2020-04-27,Kentucky,,4275.329185345541,3997.2976825004853,4553.360688190596
2020-04-28,Kentucky,,4468.485695045412,4116.486325600037,4820.485064490788
2020-04-29,Kentucky,,4664.290467467914,4237.78417379576,5090.796761140068
2020-04-30,Kentucky,,4863.878517239627,4362.852203992455,5364.9048304868
2020-05-01,Kentucky,,5068.466211607018,4492.917594149868,5644.014829064166
2020-05-02,Kentucky,,5276.379541598322,4626.289359585136,5926.46972361151
2020-05-03,Kentucky,,5488.912880518644,4764.289321730056,6213.536439307231
2020-05-04,Kentucky,,5705.331889788786,4906.161089751002,6504.50268982657
2020-05-05,Kentucky,,5925.927961877096,5052.214420126313,6799.6415036278795
2020-05-06,Kentucky,,6150.665661540717,5202.407330809531,7098.923992271903
2020-05-07,Kentucky,,6379.4758734955185,5356.672620827108,7402.279126163929
2020-05-08,Kentucky,,6612.443159495042,5515.0956245004845,7709.790694489599
2020-04-23,Minnesota,,2942.0,2942.0,2942.0
2020-04-24,Minnesota,,3099.1410773547495,3041.261399290778,3157.020755418721
2020-04-25,Minnesota,,3251.2721594636046,3127.842410556576,3374.701908370633
2020-04-26,Minnesota,,3405.521823202671,3215.527763033493,3595.5158833718488
2020-04-27,Minnesota,,3556.520973889071,3295.1825955297627,3817.859352248379
2020-04-28,Minnesota,,3708.3482848938893,3374.1847454899957,4042.5118242977824
2020-04-29,Minnesota,,3857.9398564512003,3447.5338509572916,4268.345861945109
2020-04-30,Minnesota,,4007.631207763922,3519.290418664824,4495.97199686302
2020-05-01,Minnesota,,4155.675767109316,3586.721749806685,4724.629784411948
2020-05-02,Minnesota,,4303.412719676935,3652.103777536297,4954.721661817573
2020-05-03,Minnesota,,4449.848250688423,3713.9526639414294,5185.743837435417
2020-05-04,Minnesota,,4595.752027478309,3773.5659298866794,5417.938125069938
2020-05-05,Minnesota,,4740.560337918667,3830.148616067093,5650.972059770242
2020-05-06,Minnesota,,4884.71726278407,3884.4552172513468,5884.979308316792
